frequency_Hz,minimum_normalized_return_margin,minimizing_tau,determinant_magnitude_at_minimum
0.001,0.999209349044265,1,0.999998231705175
0.00100809567353382,0.999202950482681,1,0.999998202958147
0.0010162568869976,0.999196500155513,1,0.99999817374378
0.00102448417098122,0.999189997644197,1,0.999998144054476
0.00103277806037004,0.999183442526794,1,0.999998113882515
0.00104113909437969,0.999176834377953,1,0.999998083220049
0.00104956781659108,0.99917017276889,1,0.999998052059105
0.0010580647749858,0.999163457267354,1,0.999998020391578
0.00106663052198171,0.999156687437602,1,0.999997988209234
0.00107526561446888,0.999149862840373,1,0.999997955503703
0.00108397061384575,0.999142983032857,1,0.999997922266479
0.0010927460860557,0.999136047568666,1,0.999997888488918
0.00110159260162376,0.999129055997807,1,0.999997854162238
0.00111051073569377,0.999122007866649,1,0.999997819277509
0.00111950106806574,0.999114902717902,1,0.99999778382566
0.00112856418323356,0.999107740090578,1,0.999997747797471
0.00113770067042298,0.999100519519965,1,0.999997711183574
0.00114691112362992,0.9990932405376,1,0.999997673974445
0.00115619614165913,0.999085902671232,1,0.999997636160409
0.00116555632816306,0.999078505444798,1,0.999997597731631
0.00117499229168114,0.99907104837839,1,0.999997558678117
0.00118450464567934,0.999063530988221,1,0.99999751898971
0.00119409400859005,0.999055952786597,1,0.99999747865609
0.00120376100385228,0.999048313281886,1,0.999997437666767
0.0012135062599522,0.999040611978483,1,0.999997396011082
0.00122333041046402,0.999032848376781,1,0.999997353678201
0.00123323409409112,0.999025021973137,1,0.999997310657114
0.00124321795470765,0.999017132259839,1,0.999997266936634
0.00125328264140034,0.999009178725076,1,0.999997222505392
0.00126342880851072,0.999001160852901,1,0.99999717735183
0.00127365711567764,0.9989930781232,1,0.999997131464208
0.00128396822788018,0.998984930011659,1,0.999997084830591
0.00129436281548089,0.998976715989729,1,0.999997037438851
0.00130484155426934,0.998968435524589,1,0.999996989276664
0.00131540512550606,0.998960088079117,1,0.999996940331504
0.00132605421596686,0.998951673111853,1,0.999996890590643
0.00133678951798747,0.99894319007696,1,0.999996840041144
0.00134761172950852,0.998934638424197,1,0.999996788669862
0.00135852155412096,0.998926017598876,1,0.999996736463437
0.00136951970111177,0.998917327041828,1,0.999996683408291
0.0013806068855101,0.99890856618937,1,0.999996629490627
0.00139178382813373,0.998899734473264,1,0.999996574696423
0.00140305125563594,0.998890831320682,1,0.999996519011429
0.00141440990055278,0.998881856154173,1,0.999996462421163
0.00142586050135065,0.998872808391618,1,0.999996404910907
0.00143740380247435,0.998863687446197,1,0.999996346465707
0.00144904055439544,0.998854492726352,1,0.999996287070361
0.00146077151366109,0.998845223635746,1,0.999996226709424
0.00147259744294318,0.998835879573224,1,0.999996165367197
0.00148451911108798,0.998826459932777,1,0.999996103027728
0.00149653729316606,0.998816964103503,1,0.999996039674804
